HOT SEX,2:46,A TRIBE CALLED QUEST,192 kbps,MIDNIGHT MARAUDERS,RAP
the hotness,4:32,Trick Daddy,192 kbps,Thugs Are Us (Explicit Retail),Rap
Hottest of the Hot,4:36,B.G.,192 kbps,Livin' Legend,Gangsta Rap
Hottest of the Hot,4:16,B.G.,192 kbps,Livin' Legend,Gangsta Rap
Hottest of the Hot (Micheal Beat n Azz Crooms remix),4:02,B.G.,192 kbps,Livin' Legend,Gangsta Rap
House Is the Way of Life,1:34,Juan V.,192 kbps,Hard House Diva,House
How Does It Feel,4:31,Too $hort,192 kbps,Can't Stay Away,
How I Get Down,3:42,Suga Free,192 kbps,Just Add Water,Rap
How Many Party...,4:25,DJ Irene,192 kbps,Hard House Diva,House
How to Rob,3:36,50 Cent feat. The Madd Rapper,192 kbps,Gangster and a Gentleman,Rap
How to Run a Train,2:50,Angel Alanis,192 kbps,Hard House Diva,House
How To Whip It Featuring Dave East,3:39,PnB Rock,192 kbps,RNB 2,Hip-Hop
HOW'D YA DO IT DEE,3:22,RUN D.M.C.,192 kbps,TOUGHER THAN LEATHER,RAP
However You Want It,4:12,B.G.,192 kbps,Livin' Legend,Gangsta Rap
Humanoid Interview with Bill & Tom (English),7:21,Tokio Hotel,192 kbps,Humanoid [English Deluxe Edition],Pop-Rock
Hungry,4:19,Bubba Sparxxx,192 kbps,"Dark Days, Bright Nights",Rap
Hungry Rap Niggas,1:40,50 Cent,192 kbps,50 Cent VS Saigon,Rap
Husbands,3:50,mc DJ,192 kbps,Utterances of the Heart,Hip-Hop
The Hustle,1:51,Lil Scrappy,192 kbps,Prince Of The South 2,"Hip Hop, Crunk"
Hustle,3:53,Lil' Flip,192 kbps,I Need Mine,Rap
Hustler,2:57,50 Cent,192 kbps,Behind da Bars,Rap
I Ain't Goin' Out Like That,4:28,Cypress Hill,192 kbps,Black Sunday,Hip-Hop
I Am,1:43,George Centeno,192 kbps,Hard House Diva,House
I Be Thinking,4:36,B.G.,192 kbps,"It's All on U, Vol. 1",Gangsta Rap
I Belong to U (Interlude),1:25,112,192 kbps,Hot & Wet,R&B
(I Call the Shots) Round Here,2:56,50 Cent & G-Unit,192 kbps,For Love or War,Gangsta Rap
I CAN DO U,3:37,FAT JOE,192 kbps,ALL OR NOTHING,Rap
I Can Make You Dance,4:01,Zapp & Roger,192 kbps,All The Greatest Hits,R&B/Funk
I Can Tell,3:30,504 Boyz,192 kbps,Goodfellas,Rap
"I Decided, Part 1",4:14,Solange,192 kbps (VBR),Sol-Angel and the Hadley St. Dreams (Deluxe Edition),Pop
I Dominate Break Loops!,1:26,Alex Peace,192 kbps,Hard House Diva,House
I Get Down (Feat  B-Legit & Cousin Fik),3:23,E-40,192 kbps,Revenue Retrievin: Day Shift,Hip Hop
I Get Money (feat. Rick Ross),3:41,Lil' Flip,192 kbps,I Need Mine,Rap
I Got (DADO Remix),4:12,Young the Giant,192 kbps,Remix EP,
I Got Game (Feat. Snoop Dogg and Armed Robbery),5:12,Nate Dogg,192 kbps,Nate Dogg,Hip-Hop
I Got Keyz,3:35,Big Syke,192 kbps,Big Syke Daddy,Rap
I Heard It Through The Grapevine,6:48,Zapp & Roger,192 kbps,All The Greatest Hits,R&B/Funk
I Just Wanna Tell U,2:32,Lil' Flip,192 kbps,I Need Mine,Rap
I Keep It Gangsta,4:44,B.G.,192 kbps,Livin' Legend,Gangsta Rap
I Know,2:53,PnB Rock,192 kbps,RNB 2,Hip-Hop
I Left It Wet For You,4:45,UGK,192 kbps,Super Tight,Rap
I LEFT MY WALLET IN EL SEGUNDO,4:09,A TRIBE CALLED QUEST,192 kbps,PEOPLES INSTINCTIVE TRAVELS AND THE PATHS OF RHYTHM,RAP
I Like Girls,4:55,Coolio,192 kbps,El Cool Magnifico,Rap
I Need a Bitch (Feat. Armed Robbery),3:44,Nate Dogg,192 kbps,Nate Dogg,Hip-Hop
I Paid My Dues,4:27,Rappin' 4-Tay,192 kbps,Off Parole,Hip-Hop
I REMEMBER,4:48,COOLIO,192 kbps,IT TAKES A THIEF,RAP
I Surrender (Interlude),1:14,112,192 kbps,Part III,R&B
I Think,4:15,112,192 kbps,Part III,R&B
I Told You So,3:24,Boys Like Girls,192 kbps,Heavy Heart,Rock
I Wanna Be Young,2:41,Ariel Pink's Haunted Graffiti,192 kbps,Scared Famous,
I Wanna F*ck,5:11,B.G./Conrad/Gar/Hakim/Sniper,192 kbps,Life After Cash Money,Rap & Hip Hop
I Wanna Get High,2:55,Cypress Hill,192 kbps,Black Sunday,Hip-Hop
I Wanna Go,2:20,G-Unit,192 kbps,Tha Realest Killaz,Rap
I Want To Be Your Man,4:10,Zapp & Roger,192 kbps,All The Greatest Hits,R&B/Funk
I Want You Girl,1:26,Fast Eddie,192 kbps,Club Series,Techno
I'm A Baller (Flip My Chips),3:23,Lil' Flip,192 kbps,I Need Mine,Rap
I'm A Boss Freestyle,1:44,Tha Dogg Pound,192 kbps,DPGC'Ology [Hosted by DJ Nik Bean],Gangsta Rap
I'm a Junkie,2:51,Andre Nickatina feat. Equipto,192 kbps,"Bullets, Blunts N Ah Big Bank Roll: The 7 MC Theory",Underground Rap
I'm a Pisces,3:23,Andre Nickatina,192 kbps,Cocaine Raps,Rap
I'm A Winner ft. Amber Petty,4:17,Childish Gambino,192 kbps,Sick Boi ,Hip-Hop
I'm From Tha Dogg Pound (ft. Eazy-E),3:59,Roscoe,192 kbps,Philaphornia 2: Tha Philly Fanatic,Hip-Hop
I'M GOING OUT FEATURING LIL' CEASE,3:45,MOBB DEEP,192 kbps,MURDA MUZIK,RAP
I'm Gone (Feat. _Dead),3:53,Suga Free,192 kbps,Just Add Water,Rap
I'M NOT GOING OUT LIKE THAT,4:55,RUN D.M.C.,192 kbps,TOUGHER THAN LEATHER,RAP
I'm Outta Here,1:48,X-Raided,192 kbps,Niggaz In Blacc,Gangsta Rap
I'm Ready To Smoke Now (feat. Hu$tle Boyz & 8Ball),4:31,Tha Dogg Pound,192 kbps,DPGC'Ology [Hosted by DJ Nik Bean],Gangsta Rap
I'm So Hood,4:27,C-Bo,192 kbps,Money to Burn,Gangsta
I'm Sorry(Interlude),0:48,112,192 kbps,Pleasure & Pain,R&B
I'm Try'n,3:50,B.G. feat. Lil Wayne & Juvenile,192 kbps,"It's All on U, Vol. 2",Gangsta Rap
I'm Ya' Pusher (Feat. Pizzo),3:30,C-Bo,192 kbps,Money to Burn,Gangsta
I'M YOUR NEW GOD,4:44,Sir Mix-A-Lot,192 kbps,Mack Daddy,RAP
Ice Cream Man,5:18,Dru Down,192 kbps,Fools From The Street,West Coast Hip Hop
If I Can't,5:44,G-Unit feat. JAY-Z,192 kbps,Tha Realest Killaz,Rap
If I Could Go (Freestyle),2:07,50 Cent feat. G-Unit,192 kbps,Gangster and a Gentleman,Rap
IF I FALL,5:15,Bone Thugs-N-Harmony,192 kbps,THUG WORLD ORDER,RAP
If I Hit(Ft. T.I.),3:56,112,192 kbps,Pleasure & Pain,R&B
If I Make It to Heaven,1:12,G-Unit,192 kbps,Tha Realest Killaz,Rap
If You A Gee (Feat. the Outlawz),4:32,C-Bo,192 kbps,Money to Burn,Gangsta
If You Could See Me Now,3:58,Boys Like Girls,192 kbps,Heavy Heart,Rock
If You Feel Me (DAIS West Coast Mix Feat. Asami),3:33,Suga Free,192 kbps,Just Add Water,Rap
"If You Real, Keep it Real",5:04,504 Boyz,192 kbps,Goodfellas,Rap
If You Wanna Knuck,3:51,Lil Scrappy,192 kbps,Prince Of The South 2,"Hip Hop, Crunk"
If You Want It,2:38,50 Cent & G-Unit,192 kbps,For Love or War,Gangsta Rap
Illusions,4:29,Cypress Hill,192 kbps,III: Temples of Boom,Blues
Im A Teach Ya How To Sell Dope,4:28,E-40,192 kbps,Revenue Retrievin: Day Shift,Hip Hop
im a thug,4:14,Trick Daddy,192 kbps,Thugs Are Us (Explicit Retail),Rap
Im Out Here,4:30,B.G.,192 kbps,Livin' Legend,Gangsta Rap
IN FOR LIFE,4:30,Terror Squad,192 kbps,Terror Squad: The Album,Rap
In the Heart of the Ghetto,4:29,Mack 10,192 kbps,"Ghetto, Gutter & Gangsta",Other
In the Hood,2:46,B.G.,192 kbps,Livin' Legend,Gangsta Rap
In The House,3:38,RUN DMC,192 kbps,Down With The King,Hip-Hop
In The Mix,3:29,Zapp & Roger,192 kbps,All The Greatest Hits,R&B/Funk
In the Studio,2:56,Too $hort,192 kbps,Can't Stay Away,
In the Trunk (Feat. 151 & Lil' Cyco),4:56,C-Bo,192 kbps,Money to Burn,Gangsta
In the Wild,2:15,mc DJ,192 kbps,Utterances of the Heart,Hip-Hop
In This Bitch Featuring Moselina,3:04,PnB Rock,192 kbps,RNB 2,Hip-Hop
Inch Mile,3:50,EA-Ski,192 kbps,1 Step Ahead of Yall,Rap
THE INFAMOUS DATE RAPE,2:54,A TRIBE CALLED QUEST,192 kbps,THE LOW END THEORY,RAP
Insane In The Brain,3:33,Cypress Hill,192 kbps,Black Sunday,Hip-Hop
Interlude,1:03,Coolio,192 kbps,My Soul,Rap
Interlude,1:18,Cypress Hill,192 kbps,Black Sunday,Hip-Hop
Interlude,1:26,E-A-Ski,192 kbps,Past and Present,Rap
Interlude,0:20,Kayslay,192 kbps,50 Cent VS Saigon,Rap
Interlude 1,0:08,Nate Dogg,192 kbps,Nate Dogg,Hip-Hop
Interlude 2,0:32,Kayslay,192 kbps,50 Cent VS Saigon,Rap
Interlude 2,0:24,Nate Dogg,192 kbps,Nate Dogg,Hip-Hop
Intro,2:55,B.G. & The Chopper City Boyz,192 kbps,We Got This,Rap
Intro,2:57,B.G./Ziggler the Wiggler,192 kbps,Life After Cash Money,Rap & Hip Hop
Intro,0:39,The Beatnuts,192 kbps,Milk Me,Hip Hop
Intro,0:29,Bubba Sparxxx,192 kbps,"Dark Days, Bright Nights",Rap
Intro,0:27,Coolio,192 kbps,My Soul,Rap
Intro,1:32,E-A-Ski,192 kbps,Past and Present,Rap
Intro,0:59,EA-Ski,192 kbps,1 Step Ahead of Yall,Rap
INTRO,3:37,FAT JOE,192 kbps,ALL OR NOTHING,RAP
Intro,1:57,DJ Green Lantern,192 kbps,"Invasion, Part 2: Conspiracy Theory",Hip-Hop
Intro,1:50,DJ Green Lantern,192 kbps,"Invasion, Part 3: Countdown to Armageddon",Hip-Hop
Intro,3:46,Dj Irene,192 kbps,Club Series,Techno
Intro,2:20,Dj Irene,192 kbps,Club Series,Techno
Intro,4:03,DJ Irene,192 kbps,Hard House Diva,House
Intro,1:52,DJ Irene,192 kbps,Hard House Diva,House
Intro,1:47,Ja Rule,192 kbps,The Mirror,Hip Hop/R&B
Intro,0:46,King of New York,192 kbps,50 Cent VS Saigon,Rap
Intro,0:50,Mack 10,192 kbps,Bang Or Ball,Rap
Intro,0:07,Mack 10,192 kbps,"Ghetto, Gutter & Gangsta",Other
INTRO,0:45,MOBB DEEP,192 kbps,MURDA MUZIK,RAP
Intro,0:46,Mr. Peter Parker & DJ E-V,192 kbps,100 Words And Running,Hip Hop/Rap
Intro,3:20,PnB Rock,192 kbps,RNB 2,Hip-Hop
Intro,0:52,DJ Smallz & Drake,192 kbps,Room for Improvement,Hip-Hop/Rap
intro,0:33,Trick Daddy,192 kbps,Thugs Are Us (Explicit Retail),Rap
Intro,0:41,50 Cent & G-Unit,192 kbps,For Love or War,Gangsta Rap
Intro,0:48,504 Boyz,192 kbps,Goodfellas,Rap
Intro,1:00,Lil' Flip,192 kbps,I Need Mine,Rap
Intro,0:55,112,192 kbps,Pleasure & Pain,R&B
Intro  ,1:22,Fabolous,192 kbps,There Is No Competition: Death Comes In 3's,Hip-Hop
Intro (Feat. Katt Williams),1:28,Suga Free,192 kbps,Just Add Water,Rap
Intro/Medley,2:34,112,192 kbps,Hot & Wet,R&B
Invasion,2:29,Eminem,192 kbps,"Invasion, Part 1: Shady Times",Rap
Invasion of the Flat Booty Bitches,4:27,Too $hort,192 kbps,Can't Stay Away,
Island Hop,3:24,Coolio,192 kbps,El Cool Magnifico,Rap
Islands (Cahb Remix),5:37,Young the Giant,192 kbps,Remix EP,
Islands (Tapioca and the Flea Remix),4:44,Young the Giant,192 kbps,Remix EP,
IT TAKES A THIEF,5:07,COOLIO,192 kbps,IT TAKES A THIEF,RAP
It's Been Real (Outro),2:17,Eminem,192 kbps,Straight From The Vault EP,Hip-Hop
It's Going Down Tonight (Feat. T.I.),4:43,112,192 kbps,Hot & Wet,R&B
IT'S MINE FEATURING NAS,4:24,MOBB DEEP,192 kbps,MURDA MUZIK,RAP
It's Not Funny,5:38,Run-D.M.C.,192 kbps,King of Rock,Rap
It's nothing,4:06,Fat Joe,192 kbps,Loyalty(Retail),Rap
It's Nothing (Feat. AG & Gab Goblin),3:35,The Beatnuts,192 kbps,Milk Me,Hip Hop
It's Over (Feat Jermaine Dupri),3:41,Run DMC,192 kbps,Crown Royal,Hip-Hop
It's Over Now,4:25,112,192 kbps,Part III,R&B
It's Real,4:21,B.G. & The Chopper City Boyz,192 kbps,We Got This,Rap
Its All Hood Now,4:39,Ja Rule,192 kbps,The Mirror,Hip Hop/R&B
Its Gotta Get Betta (Feat  Mike Marshall & Suga T),5:05,E-40,192 kbps,Revenue Retrievin: Day Shift,Hip Hop
Its Supposed To Bubble,4:31,UGK,192 kbps,Super Tight,Rap
Its Triccin If You Got It (feat. Khujo Of The Goodie Mob),4:16,Tha Dogg Pound,192 kbps,DPGC'Ology [Hosted by DJ Nik Bean],Gangsta Rap
Its War,3:55,C-Bo,192 kbps,Enemy of The State,
Jack And The Beanstalk,3:51,"Tyler, The Creator",192 kbps,Bastard,Hip-Hop
THE JACK BACK,4:56,Sir Mix-A-Lot,192 kbps,Mack Daddy,RAP
Jack Endlessly,1:21,Dj Irene & Laura B,192 kbps,Club Series,Techno
Jack Goes On,1:23,"Eric ""Bam Bam"" Cea",192 kbps,Club Series,Techno
Jack Who Take What,3:11,B.G.,192 kbps,Livin' Legend,Gangsta Rap
Jackie Will Save Me,3:59,Shiny Toy Guns,192 kbps,We Are Pilots,Alternative
jacksontown,4:49,mc DJ,192 kbps,Illin-Noise! The Sufjan Stevens Remix album,Hip-Hop
Jake,2:51,Saigon,192 kbps,50 Cent VS Saigon,Rap
JAM,4:38,A TRIBE CALLED QUEST,192 kbps,"BEATS, RHYMES AND LIFE",RAP
Jam-Master Jammin',4:23,Run-D.M.C.,192 kbps,King of Rock,Rap
JAZZ (WE' VE GOT),4:10,A TRIBE CALLED QUEST,192 kbps,THE LOW END THEORY,RAP
Jedi Raver,0:55,DJ Louis Love,192 kbps,Hard House Diva,House
Jerk,1:51,50 Cent feat. Next,192 kbps,Gangster and a Gentleman,Rap
John Blaze (feat Nas Jadakiss,4:51,Fat Joe,192 kbps,Don Cartagena,Hip-Hop
Judas,4:07,Ja Rule,192 kbps,The Mirror,Hip Hop/R&B
Jump Up & Down,0:55,Mazi & Tyree,192 kbps,Hard House Diva,House
Just Don't Bite It,5:28,N.W.A.,192 kbps,100 Miles And Runnin',Gangsta
Just for the Radio,4:14,EA-Ski,192 kbps,1 Step Ahead of Yall,Rap
Just Fuckin' Round,1:01,G-Unit,192 kbps,Tha Realest Killaz,Rap
Just Like That,4:28,B.G.,192 kbps,Livin' Legend,Gangsta Rap
Just Vibe,4:31,Bone Thugs N Harmony,192 kbps,Strength & Loyalty (Bonus Track Version),Rap
K to the M.A.C.,3:36,Mack 10,192 kbps,"Ghetto, Gutter & Gangsta",Other
Kamizaze Freestyle,2:54,50 Cent,192 kbps,50 Cent VS Saigon,Rap
Kamurshol,1:56,N.W.A.,192 kbps,100 Miles And Runnin',Gangsta
Karma Chameleon,4:13,Culture Club,192 kbps,Colour by Numbers,New Wave
Katt Williams Skit,0:43,Ja Rule,192 kbps,The Mirror,Hip Hop/R&B
Keep It 100,2:07,Lil Scrappy,192 kbps,Prince Of The South 2,"Hip Hop, Crunk"
Keep It on the Low,3:43,Lil Scrappy,192 kbps,Prince Of The South,Hip Hop
Keep It Real,4:08,B.G.,192 kbps,Livin' Legend,Gangsta Rap
"Keep It Real (Feat. Fabolous, Lil' Mo & Icarus)",4:28,Nate Dogg,192 kbps,Nate Dogg,Hip-Hop
KEEP IT ROLLIN,3:06,A TRIBE CALLED QUEST,192 kbps,MIDNIGHT MARAUDERS,RAP
Keep Talkin',4:14,D12,192 kbps,"Invasion, Part 2: Conspiracy Theory",Hip-Hop
KEEPING IT MOVING,3:39,A TRIBE CALLED QUEST,192 kbps,"BEATS, RHYMES AND LIFE",RAP
Kickin Dirt (Me and Tia),2:59,mc DJ,192 kbps,Love Letter in an Unbreakable Bottle,
Kickin' Hard,1:23,Klubbheads,192 kbps,Hard House Diva,House
Kill Me In A Record Shop,2:52,Boys Like Girls,192 kbps,Heavy Heart,Rock
Killa Hill Niggas,4:04,Cypress Hill,192 kbps,III: Temples of Boom,Blues
Killafornia,2:57,Cypress Hill,192 kbps,III: Temples of Boom,Blues
King N.Y.,1:01,Fat Joe,192 kbps,Jealous One's Envy,Rap
King Nicky's Crown,2:54,Andre Nickatina feat. Lolo Swift,192 kbps,"Daiquiri Factory: Cocaine Raps, Volume 2",Rap
King of Rock,5:14,Run-D.M.C.,192 kbps,King of Rock,Rap
King Pin Dream Ft Mikkey The B,5:08,Mack 10,192 kbps,Bang Or Ball,Rap
Knight Fall,4:11,Coolio,192 kbps,My Soul,Rap
Knock Out Kings,3:48,Coolio,192 kbps,El Cool Magnifico,Rap
Knock U Down,4:25,112,192 kbps,Hot & Wet,R&B
Knock U Down (Interlude),1:47,112,192 kbps,Hot & Wet,R&B
Knuckle Up,2:28,B.G. & The Chopper City Boyz,192 kbps,We Got This,Rap
Kuntry Folks ft Duddy Ken,5:15,Bubba Sparxxx,192 kbps,"Dark Days, Bright Nights",Rap
LA LA,3:07,Big Syke,192 kbps,Big Syke Daddy,Rap
Label Beef (Interlude),0:32,50 Cent,192 kbps,Gangster and a Gentleman,Rap
Ladies,5:02,Ja Rule,192 kbps,The Mirror,Hip Hop/R&B
Last Club Song,2:59,mc DJ,192 kbps,Love Letter in an Unbreakable Bottle,
The Last Rap I'll Ever Write,3:31,Andre Nickatina,192 kbps,"Daiquiri Factory: Cocaine Raps, Volume 2",Rap
Last To Know,4:00,112,192 kbps,Pleasure & Pain,R&B
Late (Skit),1:00,Bubba Sparxxx,192 kbps,"Dark Days, Bright Nights",Rap
Laughing Irena,1:37,Dj Irene,192 kbps,Club Series,Techno
Le Disko,3:23,Shiny Toy Guns,192 kbps,We Are Pilots,Alternative
"LEAN BACK (REMIX) FEATURING LIL JON, EMINEM, MASE & REMY MARTIN",4:50,FAT JOE,192 kbps,ALL OR NOTHING,Rap
"Leave Her Alone (Feat. Memphis Bleek, Freeway and Young Chris)",4:10,Nate Dogg,192 kbps,Nate Dogg,Hip-Hop
Leave Me Alone (feat. Rock City),4:06,Machine Gun Kelly,192 kbps,100 Words And Running,Hip Hop/Rap
"Left, Right (Feat. Eyeslow & Big Zak)",4:10,C-Bo,192 kbps,Money to Burn,Gangsta
Legalize It,0:47,Cypress Hill,192 kbps,Black Sunday,Hip-Hop
LET A HO BE A HO,3:35,MOBB DEEP,192 kbps,MURDA MUZIK,RAP
Let a Nigga Know,3:24,Saigon,192 kbps,50 Cent VS Saigon,Rap
Let Go,3:58,Boys Like Girls,192 kbps,Heavy Heart,Rock
Let It Be Known,2:33,Tha Dogg Pound,192 kbps,DPGC'Ology [Hosted by DJ Nik Bean],Gangsta Rap
Let It Be Known Ft Scarface Xz,4:39,Mack 10,192 kbps,Bang Or Ball,Rap
Let it Burn,3:42,mc DJ,192 kbps,Love Letter in an Unbreakable Bottle,
Let It Flow,4:45,B.G.,192 kbps,Livin' Legend,Gangsta Rap
Let It Rain,3:46,Cypress Hill,192 kbps,III: Temples of Boom,Blues
Let Me Hit It,0:27,Dj Irene & Laura B,192 kbps,Club Series,Techno
Let The Beat Build,4:15,Machine Gun Kelly,192 kbps,100 Words And Running,Hip Hop/Rap
Let The Thugs In The Club Ft L,4:54,Mack 10,192 kbps,Bang Or Ball,Rap
Let This Go,4:00,112,192 kbps,Pleasure & Pain,R&B
Let Your Mind Be Free,0:40,Alex Peace,192 kbps,Club Series,Techno
Let Your Mind Be Free,1:55,Alex Peace,192 kbps,Club Series,Techno
Let's Get Funky,5:04,B.G. feat. Lil Wayne,192 kbps,"It's All on U, Vol. 1",Gangsta Rap
Let's Stay Together (Feat Jagged Edge),3:20,Run DMC,192 kbps,Crown Royal,Hip-Hop
Lets do it,4:33,Coolio,192 kbps,My Soul,Rap
Lick A Shot,3:24,Cypress Hill,192 kbps,Black Sunday,Hip-Hop
Life Goes On,4:57,Fat Joe,192 kbps,Loyalty(Retail),Rap
Life Is Serious,3:26,504 Boyz,192 kbps,Goodfellas,Rap
Lifes a Bitch Freestyle,1:27,Saigon,192 kbps,50 Cent VS Saigon,Rap
Lifes on the Line (Wnta remix),3:13,50 Cent,192 kbps,Gangster and a Gentleman,Rap
Lights Out,3:27,Westside Connection,192 kbps,"Ghetto, Gutter & Gangsta",Other
Lightweight Jammin (Feat  Clyde Carson & Husalah),2:56,E-40,192 kbps,Revenue Retrievin: Day Shift,Hip Hop
Like That,3:31,B.G./Soulja Slim,192 kbps,Life After Cash Money,Rap & Hip Hop
Like That,2:36,Machine Gun Kelly,192 kbps,100 Words And Running,Hip Hop/Rap
Like This,4:04,Coolio,192 kbps,El Cool Magnifico,Rap
Like What,4:18,Suga Free,192 kbps,Just Add Water,Rap
Lil' Putos,3:40,Cypress Hill,192 kbps,Black Sunday,Hip-Hop
A Lil' Some'em Some'em,5:39,Rappin' 4-Tay,192 kbps,Off Parole,Hip-Hop
Link Up Featuring Bang Bang  B Love,6:06,PnB Rock,192 kbps,RNB 2,Hip-Hop
Linus and Lucy,2:08,mc DJ,192 kbps,A Charlie Brown X-mas EP,MashUp
LISTEN BABY FEATURING MASHONDA,3:35,FAT JOE,192 kbps,ALL OR NOTHING,Rap
Listen to the Hit,5:07,EA-Ski,192 kbps,1 Step Ahead of Yall,Rap
Little Coco,4:02,Andre Nickatina,192 kbps,"Daiquiri Factory: Cocaine Raps, Volume 2",Rap
Live At The BBQ (Featuring Fatal & Akinyele),4:36,Nas,192 kbps,Nasty Nas (91 Demo Tape),Hip-Hop
Live Wire,3:19,Young Hoggs,192 kbps,"Ghetto, Gutter & Gangsta",Other
Livin' Legend,4:49,B.G.,192 kbps,"It's All on U, Vol. 2",Gangsta Rap
Living Ft. Bado Deadfresh (Prod. By 1040),3:12,Foolio,192 kbps,Industry Invasion,Hip-Hop
LOCKJAW,4:19,Sir Mix-A-Lot,192 kbps,Mack Daddy,RAP
Locotes,3:39,Cypress Hill,192 kbps,III: Temples of Boom,Blues
The Long Kiss Goodnight,3:59,G-Unit,192 kbps,Tha Realest Killaz,Rap
Longevity,4:00,Too $hort,192 kbps,Can't Stay Away,
Look at Us Now,3:42,Mack 10,192 kbps,"Ghetto, Gutter & Gangsta",Other
Lord Knows  ,9:10,Fabolous,192 kbps,There Is No Competition: Death Comes In 3's,Hip-Hop
Lose Yourself (Green Lantern remix),3:52,Eminem,192 kbps,"Invasion, Part 1: Shady Times",Rap
Love (Dominic),3:41,mc DJ,192 kbps,Utterances of the Heart,Hip-Hop
The Love I Lost,2:12,Mark Imperial,192 kbps,Club Series,Techno
The Love I Lost,2:16,Mark Imperial,192 kbps,Club Series,Techno
Love in the Spring,3:21,mc DJ,192 kbps,Love Letter in an Unbreakable Bottle,
Love is Crazy  ft. Eugene Cordero,3:27,Childish Gambino,192 kbps,Sick Boi ,Hip-Hop
Love Me,4:18,112,192 kbps,Room 112,R&B
Love Twist (Feat. Captain Crucial),4:22,Culture Club,192 kbps,Kissing to Be Clever,New Wave
Love You Like I Did,4:19,112,192 kbps,Room 112,R&B
Loyalty,4:57,Fat Joe,192 kbps,Loyalty(Retail),Rap
LTFU (One More Time),3:58,Machine Gun Kelly,192 kbps,Rage Pack,Hip-Hop
LUCK OF LUCIEN,4:35,A TRIBE CALLED QUEST,192 kbps,PEOPLES INSTINCTIVE TRAVELS AND THE PATHS OF RHYTHM,RAP
LYRICS TO GO,4:10,A TRIBE CALLED QUEST,192 kbps,MIDNIGHT MARAUDERS,RAP
M1,2:44,Foolio,192 kbps,Never Wanted Fame,Hip-Hop
MACK DADDY,4:22,Sir Mix-A-Lot,192 kbps,Mack Daddy,RAP
Madness,3:20,The Beatnuts,192 kbps,Milk Me,Hip Hop
Magic Stick,3:32,G-Unit feat. Lil' Kim,192 kbps,Tha Realest Killaz,Rap
Magic Stick,2:59,50 Cent feat. Lil' Kim,192 kbps,Gangster and a Gentleman,Rap
Magic Stick (Green Lantern remix),2:22,Lil' Kim feat. 50 Cent,192 kbps,"Invasion, Part 2: Conspiracy Theory",Hip-Hop
Magick Muzick,1:48,Angel Alanis,192 kbps,Hard House Diva,House
Make 'em Mad,4:27,B.G. & The Chopper City Boyz,192 kbps,We Got This,Rap
Make a Move,4:38,Cypress Hill,192 kbps,III: Temples of Boom,Blues
Make it Good (I Think About You Sometimes),4:05,mc DJ,192 kbps,Love Letter in an Unbreakable Bottle,
Make It Hot (feat. Snoop Dogg),3:20,Tha Dogg Pound,192 kbps,DPGC'Ology [Hosted by DJ Nik Bean],Gangsta Rap
Make It Shake,3:45,Lil' Flip,192 kbps,I Need Mine,Rap
Make Room for Harry,4:28,Ariel Pink's Haunted Graffiti,192 kbps,FF>>,
Make Things Right,2:41,DJ Smallz & Drake,192 kbps,Room for Improvement,Hip-Hop/Rap
Make Yo Spot Hot,3:52,E-A-Ski,192 kbps,The Black Album,Gangsta
Mama Use to Say,4:14,EA-Ski,192 kbps,1 Step Ahead of Yall,Rap
"MAMA, I'M IN LOVE WIT A GANGSTA",4:10,COOLIO,192 kbps,IT TAKES A THIEF,RAP
A Man With a Horn,1:50,Jack N. House,192 kbps,Hard House Diva,House
Man-Shake,2:35,Culture Club,192 kbps,Colour by Numbers,New Wave
Man's World,5:08,112,192 kbps,Hot & Wet,R&B
Mango,3:14,Peach Tree Rascals,192 kbps,Mango - Single,Indie / Alternative
The Manuscript,3:41,E-A-Ski,192 kbps,Past and Present,Rap
Marching Band Interlude,0:44,The Beatnuts,192 kbps,Milk Me,Hip Hop
Margarita Master,2:43,Foolio,192 kbps,Never Wanted Fame,Hip-Hop
"MARY, MARY",3:15,RUN D.M.C.,192 kbps,TOUGHER THAN LEATHER,RAP
Mathematics,4:16,Mack 10,192 kbps,Bang Or Ball,Rap
Mega Medley,4:08,Zapp & Roger,192 kbps,All The Greatest Hits,R&B/Funk
Message To Mankind,2:22,Ja Rule,192 kbps,The Mirror,Hip Hop/R&B
MIDNIGHT,4:24,A TRIBE CALLED QUEST,192 kbps,MIDNIGHT MARAUDERS,RAP
Midnight Hour ('93 Remix) (Live),5:09,Zapp & Roger,192 kbps,All The Greatest Hits,R&B/Funk
MIDNIGHT MARAUDERS TOUR GUIDE,0:46,A TRIBE CALLED QUEST,192 kbps,MIDNIGHT MARAUDERS,RAP
Mighty Mighty Warrior,4:23,Mo' Thugs,192 kbps,Family Scriptures Chapter II: Family Reunion,Rock
Mighty Mo Thug,4:13,Mo' Thugs,192 kbps,Family Scriptures Chapter II: Family Reunion,Rock
Mike's in a Trance,1:33,Mike Flores,192 kbps,Hard House Diva,House
Militant Minded,3:24,Lil Scrappy,192 kbps,Prince Of The South 2,"Hip Hop, Crunk"
Milk  Me Interlude,4:37,The Beatnuts,192 kbps,Milk Me,Hip Hop
A Million and One Answers,3:41,Machine Gun Kelly,192 kbps,100 Words And Running,Hip Hop/Rap
Mind Of A Stoner (Feat. Wiz Khalifa) ,2:49,Machine Gun Kelly,192 kbps,Black Flag,Hip-Hop
